2020-02-04 12:58:58 INFO  SessionListener:25 - contextInitialized Apache Tomcat/9.0.30
2020-02-04 12:58:59 INFO  SessionListener:38 - Session with id : 831360DF8D49BC4C406A8C9FB4C3CADB created.
2020-02-04 12:58:59 INFO  Controller:23 - In Controller doGet
2020-02-04 12:58:59 INFO  Controller:25 - 
2020-02-04 12:58:59 INFO  CommandFactory:27 - COMMAND IN FACTORY null
2020-02-04 12:58:59 INFO  CommandFactory:30 - In Factory defined like EMPTY!
2020-02-04 12:58:59 INFO  EmptyCommand:24 - in EmptyCommand
2020-02-04 12:58:59 INFO  EmptyCommand:41 - default page = sign_in
2020-02-04 12:58:59 INFO  Controller:49 - PAGE IN CONTROLLER: /WEB-INF/views/authorization/signIn.jsp
2020-02-04 12:59:00 INFO  SessionListener:52 - Attribute added: language
2020-02-04 12:59:00 INFO  SessionListener:52 - Attribute added: javax.servlet.jsp.jstl.fmt.request.charset
2020-02-04 12:59:00 INFO  SessionListener:38 - Session with id : C2955C2E7C075DCD19D724A7E3C8D81D created.
2020-02-04 12:59:00 INFO  Controller:23 - In Controller doGet
2020-02-04 12:59:00 INFO  Controller:25 - 
2020-02-04 12:59:00 INFO  CommandFactory:27 - COMMAND IN FACTORY null
2020-02-04 12:59:00 INFO  CommandFactory:30 - In Factory defined like EMPTY!
2020-02-04 12:59:00 INFO  EmptyCommand:24 - in EmptyCommand
2020-02-04 12:59:00 INFO  EmptyCommand:41 - default page = sign_in
2020-02-04 12:59:00 INFO  Controller:49 - PAGE IN CONTROLLER: /WEB-INF/views/authorization/signIn.jsp
2020-02-04 12:59:00 INFO  SessionListener:52 - Attribute added: language
2020-02-04 12:59:00 INFO  SessionListener:52 - Attribute added: javax.servlet.jsp.jstl.fmt.request.charset
2020-02-04 12:59:00 INFO  SessionListener:38 - Session with id : 7CDDE72318CDCA56589D117D3E8FC410 created.
2020-02-04 12:59:00 INFO  Controller:23 - In Controller doGet
2020-02-04 12:59:00 INFO  Controller:25 - 
2020-02-04 12:59:00 INFO  CommandFactory:27 - COMMAND IN FACTORY null
2020-02-04 12:59:00 INFO  CommandFactory:30 - In Factory defined like EMPTY!
2020-02-04 12:59:00 INFO  EmptyCommand:24 - in EmptyCommand
2020-02-04 12:59:00 INFO  EmptyCommand:41 - default page = sign_in
2020-02-04 12:59:00 INFO  Controller:49 - PAGE IN CONTROLLER: /WEB-INF/views/authorization/signIn.jsp
2020-02-04 12:59:00 INFO  SessionListener:52 - Attribute added: javax.servlet.jsp.jstl.fmt.request.charset
2020-02-04 12:59:00 INFO  SessionListener:52 - Attribute added: language
2020-02-04 12:59:03 INFO  Controller:33 - In Controller doPost
2020-02-04 12:59:03 INFO  Controller:35 - sign_in
2020-02-04 12:59:03 INFO  CommandFactory:27 - COMMAND IN FACTORY sign_in
2020-02-04 12:59:03 INFO  CommandFactory:38 - app.commands.command.SignInCommand@45f4a407
2020-02-04 12:59:03 INFO  SignInCommand:23 - in SignInCommand
2020-02-04 12:59:03 INFO  SignInCommand:43 - POST in SignInCommand
2020-02-04 12:59:04 INFO  SignInDAO:62 - user was found by login / password
2020-02-04 12:59:04 INFO  SignInDAO:65 - SignInDAO.getUserByLogPas() gave output
2020-02-04 12:59:04 INFO  SignInCommand:53 - user logged in SignInCommand
2020-02-04 12:59:04 INFO  SessionListener:52 - Attribute added: currentUser
2020-02-04 12:59:04 INFO  SessionListener:52 - Attribute added: speakersForOption
2020-02-04 12:59:04 INFO  ModerCabinetLogic:133 - 
2020-02-04 12:59:04 INFO  ModerCabinetLogic:153 - 10 USER SIZE
2020-02-04 12:59:04 INFO  Controller:49 - PAGE IN CONTROLLER: /WEB-INF/views/cabinets/moderCabinet.jsp
2020-02-04 12:59:14 INFO  Controller:33 - In Controller doPost
2020-02-04 12:59:14 INFO  Controller:35 - moder_cabinet
2020-02-04 12:59:14 INFO  CommandFactory:27 - COMMAND IN FACTORY moder_cabinet
2020-02-04 12:59:14 INFO  CommandFactory:38 - app.commands.command.ModerCabinetCommand@5e0f2a9d
2020-02-04 12:59:14 INFO  ModerCabinetCommand:29 - ACTION give_speech
2020-02-04 12:59:15 INFO  ModerCabinetLogic:133 - 
2020-02-04 12:59:15 INFO  ModerCabinetLogic:153 - 10 USER SIZE
2020-02-04 12:59:15 INFO  Controller:49 - PAGE IN CONTROLLER: /WEB-INF/views/cabinets/moderCabinet.jsp
